INSPECTION_YEAR,NTA,NUMBER_OF_INSPECTIONS,BOROUGH
2022,East New York-City Line,161,Brooklyn
2022,East New York-New Lots,217,Brooklyn
2022,East Village,7416,Manhattan
2022,East Williamsburg,1119,Brooklyn
2022,Eastchester-Edenwald-Baychester,697,Bronx
2022,Elmhurst,636,Queens
2022,Far Rockaway-Bayswater,131,Queens
2022,Financial District-Battery Park City,198,Manhattan
2022,Flatbush,774,Brooklyn
2022,Flatbush (West)-Ditmas Park-Parkville,353,Brooklyn
2022,Flatlands,187,Brooklyn
2022,Flushing-Willets Point,521,Queens
2022,Fordham Heights,2136,Bronx
2022,Forest Hills,334,Queens
2022,Fort Greene,325,Brooklyn
2022,Fresh Meadows-Utopia,49,Queens
2022,Glen Oaks-Floral Park-New Hyde Park,57,Queens
2022,Glendale,205,Queens
2022,Gramercy,333,Manhattan
2022,Grasmere-Arrochar-South Beach-Dongan Hills,418,Staten Island
2022,Gravesend (East)-Homecrest,107,Brooklyn
2022,Gravesend (South),138,Brooklyn
2022,Gravesend (West),115,Brooklyn
2022,Great Kills-Eltingville,237,Staten Island
2022,Greenpoint,541,Brooklyn
2022,Greenwich Village,1613,Manhattan
2022,Hamilton Heights-Sugar Hill,2922,Manhattan
2022,Harlem (North),4900,Manhattan
2022,Harlem (South),5008,Manhattan
2022,Hell's Kitchen,2493,Manhattan
2022,Highbridge,2610,Bronx
2022,Hollis,61,Queens
2022,Howard Beach-Lindenwood,80,Queens
2022,Hunts Point,818,Bronx
2022,Hutchinson Metro Center,0,Bronx
2022,Inwood,1796,Manhattan
2022,Inwood Hill Park,4,Manhattan
2022,Jackson Heights,1174,Queens
2022,Jacob Riis Park-Fort Tilden-Breezy Point Tip,1,Queens
2022,Jamaica,265,Queens
2022,Jamaica Estates-Holliswood,97,Queens
2022,Jamaica Hills-Briarwood,361,Queens
2022,Kensington,313,Brooklyn
2022,Kew Gardens,56,Queens
2022,Kew Gardens Hills,109,Queens
2022,Kingsbridge Heights-Van Cortlandt Village,1029,Bronx
2022,Kingsbridge-Marble Hill,360,Bronx
2022,Laurelton,69,Queens
2022,Long Island City-Hunters Point,177,Queens
2022,Longwood,676,Bronx
2022,Lower East Side,2719,Manhattan
2022,Madison,90,Brooklyn
2022,Manhattanville-West Harlem,765,Manhattan
2022,Mapleton-Midwood (West),154,Brooklyn
2022,Marine Park-Mill Basin-Bergen Beach,115,Brooklyn
2022,Marine Park-Plumb Island,0,Brooklyn
2022,Mariner's Harbor-Arlington-Graniteville,157,Staten Island
2022,Maspeth,279,Queens
2022,Melrose,773,Bronx
2022,Middle Village,201,Queens
2022,Midtown South-Flatiron-Union Square,194,Manhattan
2022,Midtown-Times Square,126,Manhattan
2022,Midwood,125,Brooklyn
2022,Morningside Heights,1001,Manhattan
2022,Morris Park,1172,Bronx
2022,Morrisania,2487,Bronx
2022,Mott Haven-Port Morris,1499,Bronx
2022,Mount Eden-Claremont (West),2996,Bronx
2022,Mount Hope,3787,Bronx
2022,Murray Hill-Broadway Flushing,136,Queens
2022,Murray Hill-Kips Bay,280,Manhattan
2022,New Dorp-Midland Beach,114,Staten Island
2022,New Springville-Willowbrook-Bulls Head-Travis,88,Staten Island
2022,North Corona,387,Queens
2022,Norwood,1878,Bronx
2022,Oakland Gardens-Hollis Hills,19,Queens
2022,Oakwood-Richmondtown,79,Staten Island
2022,Ocean Hill,683,Brooklyn
2022,Old Astoria-Hallets Point,173,Queens
2022,Ozone Park,136,Queens
2022,Ozone Park (North),107,Queens
2022,Park Slope,1023,Brooklyn
2022,Parkchester,50,Bronx
2022,Pelham Bay-Country Club-City Island,145,Bronx
2022,Pelham Gardens,1372,Bronx
2022,Pelham Parkway-Van Nest,1494,Bronx
2022,Pomonok-Electchester-Hillcrest,71,Queens
2022,Port Richmond,187,Staten Island
2022,Prospect Heights,496,Brooklyn
2022,Prospect Lefferts Gardens-Wingate,468,Brooklyn
2022,Prospect Park,2,Brooklyn
2022,Queens Village,167,Queens
2022,Queensboro Hill,72,Queens
2022,Queensbridge-Ravenswood-Dutch Kills,292,Queens
2022,Randall's Island,4,Manhattan
2022,Rego Park,100,Queens
2022,Richmond Hill,154,Queens
2022,Ridgewood,2291,Queens
2022,Rikers Island,0,Bronx
2022,Riverdale-Spuyten Duyvil,219,Bronx
2022,Rockaway Beach-Arverne-Edgemere,67,Queens
2022,Rosebank-Shore Acres-Park Hill,105,Staten Island
2022,Rosedale,40,Queens
2022,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,261,Brooklyn
2022,SoHo-Little Italy-Hudson Square,2304,Manhattan
2022,Soundview-Bruckner-Bronx River,3050,Bronx
2022,Soundview-Clason Point,149,Bronx
2022,South Jamaica,269,Queens
2022,South Ozone Park,316,Queens
